Process Name	PID	Username
MNEService.exe	6344	None
fcags.exe	6404	None
MfeFfCoreService.exe	6424	None
Dell.TechHub.Instrumentation.SubAgent.exe	6448	None
MicrosoftSearchInBing.exe	6460	None
RstMwService.exe	6488	None
RtkAudUService64.exe	6548	None
svchost.exe	6556	None
TbtP2pShortcutService.exe	6568	None
WavesAudioService.exe	6584	None
svchost.exe	6596	None
WavesSysSvc64.exe	6612	None
cvd.exe	6860	None
WMIRegistrationService.exe	6868	None
EmaAgent.exe	6892	None
CptService.exe	6920	None
svchost.exe	6988	None
wlanext.exe	7024	None
svchost.exe	7052	None
SystemSettings.exe	7180	ADPROD\khiray
chrome.exe	7264	ADPROD\khiray
conhost.exe	7288	None
SgrmBroker.exe	7488	None
java.exe	7880	None
fcagswd.exe	7932	None
dllhost.exe	8452	None
CiscoCollabHost.exe	8600	ADPROD\khiray
fcagte.exe	8688	ADPROD\khiray
conhost.exe	8824	None
MfeFfProxy32.exe	8872	None
svchost.exe	8900	None
conhost.exe	9028	None
msedge.exe	9156	ADPROD\khiray
mfemactl.exe	9232	None
svchost.exe	9416	None
macompatsvc.exe	9512	None
svchost.exe	10116	None
cmd.exe	10228	ADPROD\khiray
CSFalconContainer.exe	10232	None
svchost.exe	10344	None
svchost.exe	10348	None
conhost.exe	10384	ADPROD\khiray
cmd.exe	10700	ADPROD\khiray
svchost.exe	10768	None
BeyondIdentity.exe	10780	None
unsecapp.exe	10844	None
CSFalconContainer.exe	10864	None
CSFalconContainer.exe	10948	None
SystemSettingsBroker.exe	11208	ADPROD\khiray
svchost.exe	11240	None
wa_3rd_party_host_64.exe	11364	None
OneDrive.exe	11392	ADPROD\khiray
fcag.exe	11400	ADPROD\khiray
svchost.exe	11468	ADPROD\khiray
mtxopswatproxy.exe	11536	None
msedgewebview2.exe	11544	ADPROD\khiray
dptf_helper.exe	11556	ADPROD\khiray
svchost.exe	11568	ADPROD\khiray
Teams.exe	11708	ADPROD\khiray
WavesSvc64.exe	11780	ADPROD\khiray
msedge.exe	11792	ADPROD\khiray
conhost.exe	11824	None
msedge.exe	12020	ADPROD\khiray
sihost.exe	12032	ADPROD\khiray
svchost.exe	12044	None
msedge.exe	12076	ADPROD\khiray
mtxproxy.exe	12460	None
igfxEMN.exe	12468	ADPROD\khiray
Dell.Remediation.Agent.exe	12500	None
conhost.exe	12524	None
chrome.exe	12540	ADPROD\khiray
wa_3rd_party_host_32.exe	12572	None
conhost.exe	12596	None
explorer.exe	12648	ADPROD\khiray
chrome.exe	12672	ADPROD\khiray
ApplicationFrameHost.exe	12704	ADPROD\khiray
conhost.exe	12724	None
GoogleCrashHandler.exe	12760	None
svchost.exe	12792	None
Dell.TechHub.Instrumentation.UserProcess.exe	12868	None
svchost.exe	12968	ADPROD\khiray
GoogleUpdate.exe	13156	None
svchost.exe	13272	ADPROD\khiray
chrome.exe	13320	ADPROD\khiray
RuntimeBroker.exe	13348	ADPROD\khiray
Teams.exe	13416	ADPROD\khiray
svchost.exe	13524	ADPROD\khiray
Teams.exe	13532	ADPROD\khiray
svchost.exe	13540	None
chrome.exe	13588	ADPROD\khiray
RtkAudUService64.exe	13592	None
MfeFfCore.exe	13612	ADPROD\khiray
msedgewebview2.exe	13772	ADPROD\khiray
StartMenuExperienceHost.exe	13804	ADPROD\khiray
SearchHost.exe	13828	ADPROD\khiray
MfeFfProxy32.exe	13932	ADPROD\khiray
OneDrive.exe	14004	ADPROD\khiray
Widgets.exe	14076	ADPROD\khiray
svchost.exe	14136	None
Code.exe	14220	ADPROD\khiray
svchost.exe	14236	None
RuntimeBroker.exe	14252	ADPROD\khiray
chrome.exe	14260	ADPROD\khiray
SecurityHealthService.exe	14368	None
fcagte.exe	14384	ADPROD\khiray
BeyondIdentityViewHelper.exe	14392	None
Dell.Client.Framework.UserProcess.exe	14460	None
dllhost.exe	14532	ADPROD\khiray
unsecapp.exe	15180	ADPROD\khiray
msedgewebview2.exe	15384	ADPROD\khiray
TextInputHost.exe	15464	ADPROD\khiray
chrome.exe	15516	ADPROD\khiray
SearchIndexer.exe	15608	None
chrome.exe	15664	ADPROD\khiray
PGSystemTray.exe	15772	ADPROD\khiray
CvEdgeMonitor.exe	15936	ADPROD\khiray
unsecapp.exe	16028	None
RtkAudUService64.exe	16212	ADPROD\khiray
SecurityHealthSystray.exe	16336	ADPROD\khiray
msedge.exe	16360	ADPROD\khiray
Teams.exe	16408	ADPROD\khiray
CSFalconContainer.exe	16536	None
atmgr.exe	16640	ADPROD\khiray
Teams.exe	16800	ADPROD\khiray
cmd.exe	16952	ADPROD\khiray
CiscoCollabHost.exe	16968	ADPROD\khiray
WebexHost.exe	17072	ADPROD\khiray
CSFalconContainer.exe	17456	None
svchost.exe	17520	None
Teams.exe	17712	ADPROD\khiray
svchost.exe	17844	ADPROD\khiray
WmiPrvSE.exe	17968	None
Code.exe	18004	ADPROD\khiray
CiscoCollabHost.exe	18008	ADPROD\khiray
CSFalconContainer.exe	18048	None
msedge.exe	18216	ADPROD\khiray
CSFalconContainer.exe	18260	None
wmlhost.exe	18328	ADPROD\khiray
DellAWESvc.exe	18472	None
msedgewebview2.exe	18520	ADPROD\khiray
chrome.exe	18524	ADPROD\khiray
FileCoAuth.exe	18676	ADPROD\khiray
Teams.exe	18804	ADPROD\khiray
RuntimeBroker.exe	18948	ADPROD\khiray
Teams.exe	19100	ADPROD\khiray
ShellExperienceHost.exe	19140	ADPROD\khiray
chrome.exe	19224	ADPROD\khiray
chrome.exe	19368	ADPROD\khiray
msedgewebview2.exe	19476	ADPROD\khiray
conhost.exe	19596	None
svchost.exe	19760	None
svchost.exe	19768	None
Code.exe	19804	ADPROD\khiray
Skype.exe	19844	ADPROD\khiray
fcnm.exe	20104	ADPROD\khiray
msedgewebview2.exe	20176	ADPROD\khiray
msedgewebview2.exe	20228	ADPROD\khiray
msedgewebview2.exe	20368	ADPROD\khiray
audiodg.exe	20644	None
mctray.exe	20692	ADPROD\khiray
ONENOTEM.EXE	20740	ADPROD\khiray
Code.exe	20936	ADPROD\khiray
vpnui.exe	20964	ADPROD\khiray
Dell.DCF.UA.Bradbury.API.SubAgent.exe	21084	None
Skype.exe	21192	ADPROD\khiray
RuntimeBroker.exe	21216	ADPROD\khiray
svchost.exe	21248	None
Skype.exe	21264	ADPROD\khiray
UpdaterUI.exe	21300	ADPROD\khiray
Skype.exe	21312	ADPROD\khiray
ServiceShell.exe	21360	None
Skype.exe	21432	ADPROD\khiray
chrome.exe	21512	ADPROD\khiray
Dell.TechHub.exe	21612	None
WmiPrvSE.exe	21644	None
Code.exe	21676	ADPROD\khiray
RuntimeBroker.exe	21756	ADPROD\khiray
uhssvc.exe	21832	None
SupportAssistAgent.exe	21888	None
Lightshot.exe	21912	ADPROD\khiray
jusched.exe	21964	ADPROD\khiray
msedgewebview2.exe	22028	ADPROD\khiray
LockApp.exe	22068	ADPROD\khiray
Code.exe	22160	ADPROD\khiray
Code.exe	22188	ADPROD\khiray
msedge.exe	22208	ADPROD\khiray
Dell.Insights.Agent.exe	22256	None
conhost.exe	22284	None
toast32.exe	22288	ADPROD\khiray
DDVDataCollector.exe	22348	None
infoblox_rc_control_application.exe	22484	ADPROD\khiray
RuntimeBroker.exe	22908	ADPROD\khiray
Code.exe	22948	ADPROD\khiray
conhost.exe	23556	ADPROD\khiray
conhost.exe	23648	ADPROD\khiray
msedgewebview2.exe	23752	ADPROD\khiray
chrome.exe	23800	ADPROD\khiray
chrome.exe	23820	ADPROD\khiray
msedgewebview2.exe	24040	ADPROD\khiray
Grammarly.Desktop.exe	24064	ADPROD\khiray
svchost.exe	24076	None
jucheck.exe	24200	ADPROD\khiray
python3.11.exe	24248	ADPROD\khiray
crashpad_handler.exe	24864	None
chrome.exe	24880	ADPROD\khiray
chrome.exe	24940	ADPROD\khiray
Microsoft.SharePoint.exe	24996	ADPROD\khiray
chrome.exe	25164	ADPROD\khiray
chrome.exe	25904	ADPROD\khiray
chrome.exe	25936	ADPROD\khiray
chrome.exe	25984	ADPROD\khiray
chrome.exe	26072	ADPROD\khiray
svchost.exe	26264	None
conhost.exe	26292	ADPROD\khiray
chrome.exe	26452	ADPROD\khiray
chrome.exe	26472	ADPROD\khiray
coredns.exe	26588	None
python3.11.exe	26756	ADPROD\khiray
pwsh.exe	27336	ADPROD\khiray
